Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Миллийбанк,Миллийбанк Янгийўл БХМ,11,3,"17,896,624",0,0,8,6,"362,734","116,045",6,"116,045",8,"362,734",,,,,0,0,1,"11,500",3,"89,785",,,,,3,"34,712",,,1,"11,500",,,,,,,,,3,"26,260",5,"328,022",61,Ўртача,2,"20,190",2,"Янгийул ш., Мевазор МФЙ, Самарканд к., 178",Рахимов Фаррух Фахриддинович,97-442-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бизнесни ривожлантириш банки Янгийўл БХМ,7,8,"520,345","390,530",36,5,8,"321,946","225,815",8,"225,815",5,"321,946",,,,,0,0,14,"1,135,726",5,"75,554",,,,,5,"269,678",1,"7,500",3,"142,184",,,,,,,3,"828,852",2,"142,761",8,"216,958",75,Ўртача,2,"32,188",2,"Янгийул ш., Навруз МФЙ, Ёшлик к., 106",Мамаюсупов Музаффар Абдусаматович,90-921-58-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бошқа ҳудуд банклари,,"1,459",475,"745,747,863","89,341,219","58,099","1,839",540,"769,205,176","165,249,537",0,0,0,0,"24,171","6,315,219,224","47,909","15,121,426,036",0,0,0,0,"5,601","1,947,292,607","5,427","2,137,318,905","1,144","791,188,286","19,099","3,398,046,950","2,573","900,103,385","2,416","682,373,882",654,"336,562,241","1,476","1,341,296,349",934,"182,534,765","4,367","560,222,873","13,265","2,157,537,940","15,124","7,002,167,077","92,363",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,80,"22,557,469",21,"22,149,109",0,0,0,0,12,"3,415,694",4,"32,915",,,2,"57,000",,,11,"4,101,791",,,1,"25,000",1,"305,760",,,67,"18,836,015",3,"17,932,404",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,3,,0,0,0,5,0,"464,100",,,,,"1,008","162,716,452",611,"69,633,023",0,0,0,0,119,"59,175,975",32,"13,805,659",122,"25,545,431",248,"32,448,366",26,"1,420,251",43,"5,240,438",59,"4,809,069",12,"4,283,311",58,"17,122,686",66,"4,270,188",624,"54,643,040",210,"9,585,062",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,20,6,"4,078,754",0,0,7,4,"6,991,095","1,979,881",,,,,610,"182,815,089","1,247","512,326,379",0,0,0,0,114,"75,168,829",131,"193,586,337",19,"5,545,233",468,"132,433,051",75,"13,272,566",47,"60,715,873",18,"13,635,949",77,"30,304,405",31,"8,365,432",175,"22,227,892",353,"66,827,080",349,"73,058,822",23,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,73,"15,620,628",177,"22,369,439",0,0,0,0,30,"12,414,561",34,"1,291,431",,,77,"8,764,699",8,"861,700",5,"491,674",,,3,"63,782",,,8,"322,950",35,"2,344,367",50,"11,434,903",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,24,"3,810,018",49,"6,699,888",0,0,0,0,1,"147,903",1,"47,358",,,21,"2,873,383",,,3,"1,002,550",,,1,"24,000",,,13,"279,371",23,"3,662,115",10,"2,473,226",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,1,,0,0,1,0,"1,500",0,,,,,218,"171,205,320",300,"28,417,351",0,0,0,0,53,"68,808,266",19,"934,206",5,"1,954,893",152,"18,150,482",25,"38,423,861",6,"356,776",2,"5,416,537",40,"2,575,097",5,"928,084",38,"2,222,955",128,"55,673,680",45,"4,177,834",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"2,684,740",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,"2,684,740",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,16,,"579,707",,720,0,0,0,0,,,,,11,"1,181,803",56,"6,616,638",0,0,0,0,3,"77,928",24,"1,441,790",1,"192,720",18,"1,002,568",1,"176,000",3,"2,455,046",1,"30,900",1,"9,500",,,1,"1,400,000",5,"704,255",9,"307,734",721,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,27,7,"46,268,007",0,0,44,20,"65,405,189","4,332,198",,,,,79,"124,931,825",296,"270,405,385",0,0,0,0,22,"15,452,263",58,"10,299,651",8,"925,739",135,"14,649,483",7,"196,279",15,"43,660,593",1,"36,766,470",7,"173,358,573",3,"1,072,305",21,"443,063",38,"70,518,769",60,"27,994,023",835,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,24,"12,172,835",65,"17,862,626",0,0,0,0,14,"10,712,328",2,"243,912",1,"70,405",23,"1,116,887",,,8,"8,115,276",1,"331,870",5,"1,068,151",1,0,16,"3,539,427",7,"1,058,232",11,"3,778,973",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,75,"7,143,040",198,"17,789,207",0,0,0,0,9,"1,890,762",6,"213,089",8,"1,482,871",134,"13,169,288",12,"665,745",,,2,"51,100",2,"80,782",3,"703,668",30,"2,933,042",41,"2,348,895",26,"1,393,007",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,108,"24,118,232",156,"20,839,902",0,0,0,0,27,"15,541,133",16,"3,623,852",1,678,70,"10,735,771",9,"1,051,117",1,"3,423",,,2,"21,000",,,2,"48,446",71,"7,525,304",65,"6,407,410",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,93,"15,175,205",237,"26,079,842",0,0,0,0,10,"2,575,420",10,"2,421,581",,,116,"10,632,225",13,"2,371,703",6,"1,000,649",2,"1,268,565",4,"204,524",9,"1,820,384",44,"4,356,041",59,"7,139,133",57,"7,464,823",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Бошқа ҳудуд банклари,1,3,"77,900","48,135",0,3,0,"2,954,519",0,,,,,364,"118,108,993",742,"166,686,737",0,0,0,0,84,"76,209,926",120,"26,597,843",14,"4,238,378",264,"40,991,535",26,"3,133,313",20,"5,010,923",15,"6,592,359",62,"64,561,303",44,"6,053,601",87,"6,445,416",181,"21,881,415",189,"23,079,717",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,1,0,"9,600",,,,,265,"64,083,572",455,"74,573,948",0,0,0,0,74,"29,862,999",16,"1,263,930",20,"9,307,100",110,"20,613,518",25,"2,320,379",15,"3,951,266",3,"298,292",6,"1,116,034",6,"1,168,574",179,"23,156,876",137,"21,126,228",129,"24,472,325",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,22,"10,130,177",13,"5,573,096",0,0,0,0,13,"9,525,584",,,,,11,"5,550,677",2,"258,093",1,"11,379",,,,,1,"20,000",,,6,"326,500",1,"11,040",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,16,3,"242,044,261",0,0,15,2,"128,466,085","43,050",,,,,290,"11,748,759",406,"198,046,240",0,0,0,0,78,"5,377,255",62,"25,921,431",4,"113,725",168,"24,973,447",22,"188,159",16,"2,639,440",10,"459,237",12,"1,517,009",9,"1,494,427",40,"3,182,479",167,"4,115,957",108,"139,812,434","1,729",,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфинбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,63,"269,407,495",128,"8,522,183",0,0,0,0,,,2,"104,264",55,"18,916,638",90,"4,059,621",3,"25,853",15,"3,160,717",,,1,"12,600",1,"50,000",1,"4,500",4,"250,415,004",19,"1,180,481",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,183,71,"182,354,313","12,900,488","4,609",205,97,"156,528,137","20,791,254",,,,,"1,117","1,054,422,549","1,870","3,951,307,586",0,0,0,0,138,"113,242,158",270,"1,093,184,743",15,"498,647,036",469,"734,278,963",198,"95,910,462",85,"64,341,278",54,"37,758,540",137,"198,549,719",53,"25,526,122",97,"64,946,306",659,"283,338,231",812,"1,796,006,577","18,605",,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,61,"10,629,707",125,"10,631,827",0,0,0,0,5,"456,019",2,"13,844",6,"687,049",70,"4,385,201",,,4,"154,834",,,,,13,"3,718,381",28,"4,394,457",37,"5,768,258",21,"1,683,489",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,3,2,"37,623","140,381",21,2,2,"222,395","1,088,548",,,,,145,"15,714,637",165,"78,469,595",0,0,0,0,91,"11,257,572",14,"3,479,528",7,"787,891",69,"60,019,128",14,"812,984",,,1,"610,643",4,"5,506,088",1,"46,850",10,"2,892,200",31,"2,198,695",68,"6,572,651",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,3,1,"213,414",0,0,0,2,0,"1,011,220",,,,,199,"69,586,906",147,"21,014,302",0,0,0,0,103,"57,475,777",16,"1,632,502",,,44,"6,706,346",8,"1,032,707",5,"22,646",5,"2,972,091",7,"2,763,018",2,"53,567",12,"2,270,565",81,"8,052,764",63,"7,619,225",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"7,281,862",3,"61,104",0,0,0,0,,,,,2,"1,303,092",3,"61,104",4,"5,978,770",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,100,,"82,097,030",,129,147,4,"96,421,331","255,296",,,,,418,"669,604,762","2,030","2,440,370,609",0,0,0,0,60,"3,134,118",104,"34,411,153",12,"5,192,303",622,"241,376,330",92,"426,435,757",101,"25,395,296",10,"156,240,461",31,"7,840,713",16,"1,683,721",86,"12,586,230",228,"76,918,400","1,086","2,118,760,885",165,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,35,"7,785,838",40,"8,368,538",0,0,0,0,4,"339,768",5,"545,151",17,"4,043,095",12,"4,035,287",2,"21,206",13,"2,650,959",,,1,"408,750",1,"101,430",,,11,"3,280,339",9,"728,391",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,41,"5,404,302",114,"17,969,633",0,0,0,0,12,"3,081,026",3,"2,119,119",8,"180,857",77,"9,061,694",,,5,"2,702,830",1,"271,020",1,"9,000",1,"99,485",3,"95,510",19,"1,771,915",25,"3,981,481",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,1,,"220,000",,60,4,0,"210,330",0,,,,,152,"21,180,037",90,"6,608,512",0,0,0,0,3,"347,258",,,39,"11,514,013",59,"2,728,980",10,"735,791",2,"8,339",3,"301,561",3,"847,675",22,"2,132,434",13,"401,841",75,"6,148,980",13,"2,621,677",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,78,"10,396,413",140,"9,049,562",0,0,0,0,11,"2,926,391",12,"973,177",,,100,"6,030,579",9,"1,641,720",2,"214,047",,,1,"35,500",,,4,"856,546",58,"5,828,302",21,"939,713",974,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гарант банк,Бошқа ҳудуд банклари,,4,,0,0,0,0,0,0,,,,,55,"16,573,971",63,"5,574,314",0,0,0,0,9,"8,252,124",16,"2,498,846",20,"2,677,166",29,"1,767,287",2,"92,204",2,"29,800",2,"200,388",1,"64,026",4,"1,396,184",,,18,"3,955,905",15,"1,214,356",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Бошқа ҳудуд банклари,,,,,0,1,0,"25,974",0,,,,,312,"27,741,972",421,"37,588,508",0,0,0,0,118,"16,618,904",42,"9,949,729",3,"44,957",210,"17,059,814",43,"3,522,468",13,"1,040,044",,,5,"488,206",21,"1,212,385",37,"1,673,003",127,"6,343,259",114,"7,377,712",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ориент финанс банк,Бошқа ҳудуд банклари,300,96,"52,756,770","17,736,144","22,760",280,102,"72,314,074","46,747,092",,,,,"1,876","309,763,760","4,415","1,486,525,185",0,0,0,0,316,"124,389,356",647,"128,757,424",67,"17,362,062",758,"142,111,111",203,"21,335,373",333,"56,350,302",227,"28,357,034",199,"444,791,622",51,"29,843,304",283,"60,874,920","1,012","88,476,632","2,195","653,639,807","43,772",,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфинбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,133,"11,583,377",434,"58,345,142",0,0,0,0,14,"3,626,675",70,"6,712,396",2,"7,633",178,"13,999,216",7,"638,499",14,"538,517",5,"2,762,395",41,"8,089,349",7,"779,926",38,"5,221,972",98,"3,768,249",93,"23,783,691",155,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,90,"15,724,910",54,"1,513,512",0,0,0,0,7,"612,802",2,"57,895",9,"3,087,338",32,"618,845",3,"120,504",1,"6,820",11,"2,152,620",1,"23,400",26,"3,924,266",6,"75,991",34,"5,827,381",12,"730,562",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипак йўли банк,Бошқа ҳудуд банклари,,,,,1,1,0,"7,553",0,,,,,117,"14,093,917",327,"67,639,259",0,0,0,0,17,"4,305,302",23,"4,694,936",1,"370,786",168,"28,847,949",9,"2,792,466",3,"829,218",1,"42,418",4,"6,821,266",1,"5,909",16,"1,617,618",88,"6,577,036",113,"24,828,272",1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,71,"5,530,022",213,"18,193,425",0,0,0,0,7,"1,273,072",1,"7,134",1,"8,400",116,"8,819,033",4,"50,014",5,"4,260,363",,,2,"157,969",2,"296,260",51,"1,479,638",57,"3,902,277",38,"3,469,288",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,15,5,"843,146","91,932",1,4,2,"86,867","38,662",,,,,31,"2,678,170",107,"26,277,620",0,0,0,0,1,"8,732",3,"58,220",8,"1,127,756",63,"22,803,952",1,"23,000",3,"501,100",1,"11,884",8,"309,282",3,"327,727",12,"381,434",17,"1,179,070",18,"2,223,633",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"166,394",0,0,0,0,0,0,,,,,1,"29,894",,,,,,,,,,,,,,,1,"136,500",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,151,"2,210,817",183,"15,863,343",0,0,0,0,13,"970,526",32,"3,702,325",1,"7,200",96,"8,565,150",15,"268,357",,,,,1,"52,921",,,2,"176,565",122,"964,734",52,"3,366,383",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алоқабанк,Бошқа ҳудуд банклари,2,,"1,004,916",,0,2,0,"1,647,812",0,,,,,25,"873,898",28,"3,286,547",0,0,0,0,,,7,"338,912",1,"13,500",11,"766,142",,,,,1,391,,,,,5,"449,682",23,"860,007",5,"1,731,812",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,14,"3,130,070",32,"2,423,040",0,0,0,0,6,"2,246,678",,,3,"358,135",22,"1,980,992",,,,,,,,,,,3,"104,200",5,"525,258",7,"337,848",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,1,2,"32,000","6,741",143,2,6,"97,005","527,921",,,,,226,"25,347,179",585,"62,821,905",0,0,0,0,14,"4,217,719",36,"609,451",16,"1,422,952",329,"26,974,752",16,"2,783,580",9,"294,129",7,"1,157,917",12,"387,662",37,"4,394,327",66,"11,158,595",136,"11,370,685",133,"23,397,316",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,199,"20,253,315",503,"53,373,235",0,0,0,0,28,"8,231,569",79,"6,601,680",21,"3,520,270",170,"16,628,599",5,"50,810",20,"11,842,053",1,"3,538",16,"2,608,134",17,"3,515,843",31,"1,311,161",127,"4,931,286",187,"14,381,609",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,,,,5,0,0,0,0,,,,,196,"6,505,887",185,"14,680,815",0,0,0,0,40,"3,097,965",18,"3,251,859",6,"107,409",88,"6,446,460",34,"1,294,620",6,"357,221",2,"10,671",1,"10,473",4,"496,251",14,"232,374",110,"1,498,970",58,"4,382,429",5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,88,59,"30,610,600","36,585,892","1,682",150,50,"27,536,145","38,128,608",,,,,"1,697","215,560,989","1,024","251,507,690",0,0,0,0,197,"38,250,238",141,"17,297,344",69,"4,379,132",256,"38,899,309",198,"33,631,338",63,"14,801,623",63,"2,375,142",32,"10,053,568",75,"1,873,444",66,"30,526,652","1,095","135,051,695",466,"139,929,195",159,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,104,"34,495,008",255,"48,626,047",0,0,0,0,45,"17,638,307",7,"314,457",3,"1,019,075",92,"13,009,249",3,"348,736",8,"284,464",4,"1,315,722",1,"19,490",14,"6,602,251",40,"5,455,361",35,"7,570,918",107,"29,543,026",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,12,1,1,"1,293","7,157,613",,,,,170,"81,571,620",429,"53,357,501",0,0,0,0,49,"8,928,799",63,"8,645,626",2,"139,650",153,"30,105,757",26,"18,241,399",11,"196,695",1,"2,341,494",6,"2,268,960",4,"2,574,272",36,"4,381,421",88,"49,346,007",160,"7,759,042",12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,105,"18,011,039",54,"7,475,583",0,0,0,0,65,"12,477,982",6,"49,728",,,13,"221,469",1,"31,694",5,"1,157,615",,,,,,,11,"1,224,629",39,"5,501,362",19,"4,822,141",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,1,,0,0,1,0,"30,000",0,,,,,28,"5,970,919",125,"23,076,726",0,0,0,0,2,"4,102,400",10,"645,809",1,"209,911",85,"16,612,401",3,"15,404",7,"431,056",,,2,"76,631",,,6,"863,290",22,"1,643,204",15,"4,447,539",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,1,4,"28,827",0,"2,153",2,2,"66,930","1,547,706",,,,,66,"9,192,754",323,"63,381,015",0,0,0,0,20,"1,670,430",10,"224,826",5,"151,759",184,"37,856,417",16,"2,729,890",5,"148,770",,,4,"4,998,226",,,38,"5,549,450",25,"4,640,675",82,"14,603,327",8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трастбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,121,"27,745,913",580,"70,711,778",0,0,0,0,46,"15,534,099",92,"30,503,741",10,"1,561,491",246,"18,905,550",23,"3,589,152",40,"4,743,881",,,6,"1,157,563",4,"2,598,300",47,"1,561,090",38,"4,462,871",149,"13,839,953",25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,5,"1,620,557",3,"74,270",0,0,0,0,,,,,,,1,"11,500",3,"1,403,464",1,"1,270",2,"217,093",1,"61,500",,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,4,,"1,244,729",0,0,4,0,"6,897,621",,,,,186,"33,798,263",119,"6,539,600",0,0,0,0,111,"29,432,305",19,"1,074,425",2,"48,590",54,"2,953,815",8,"131,727",3,"84,257",2,"18,328",2,"83,945",3,"209,027",12,"400,311",60,"3,958,286",29,"1,942,846",0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Бошқа ҳудуд банклари,2,10,"46,697",0,7,7,6,"429,266","1,208,155",,,,,98,"42,913,395",109,"16,011,126",0,0,0,0,2,"10,702",11,"227,166",68,"36,377,227",52,"5,655,047",1,550,8,"167,170",,,,,9,"1,354,746",4,"78,232",18,"5,170,170",34,"9,883,510",94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
