Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Агробанк,Агробанк Бекобод филиали,1,3,"19,629","97,811",0,3,1,"153,120","5,908",1,"5,908",3,"153,120",,,,,0,0,0,0,,,,,,,3,"153,120",,,,,,,,,,,,,1,"5,908",,,10,Самарадор,93,"5,890",2,"Бекобод т., Истиклол МФЙ, Порлок к., 15",Джаббаров Азам Абдугафурович,94-936-96-59,,11,Қоғоз махсулоти,117,"5,675,798","1,006","56,163,161",,9,Янгийўл тумани,81,"31,837,822",144,"16,864,222",,,,,,9,Трастбанк,,,,,252,"69,468,292","1,605","153,038,385"
Халқ банк,Халқ банк Зафар БХМ,1,14,"91,000","436,605",67,1,0,"11,350",0,,,1,"11,350",,,,,0,0,0,0,,,1,"11,350",,,,,,,,,,,,,,,,,,,,,26,Самарадорлиги паст,7,0,2,"Бекобод т., Мустакиллик к., 6",Гаибназаров Ортиқбой Абдуллаевич  ,99-481-33-86,,12,Метал махсулотлари,102,"1,217,033",843,"39,644,448",,10,Чиноз тумани,66,"15,039,163",74,"14,796,392",,,,,,10,Асия аллианс банк,,,,,138,"24,353,615",619,"150,438,189"
Бекобод шаҳар,,297,124,"496,067,259","24,754,047","1,621",259,102,"80,046,695","22,665,972",102,"22,665,972",259,"80,046,695",0,0,0,0,72,"2,580,653",75,"27,847,471",18,"4,016,289",54,"5,543,693",0,0,121,"21,108,702",12,"340,975",25,"10,980,423",1,"637,418",4,"117,814",5,"7,757,730",17,"22,614,088",138,"12,494,213",113,"47,529,446","7,103",,5%,"1,369,688",,,,,,13,Кимёвий махсулт,22,"493,002",781,"37,699,766",,11,Оҳангарон тумани,31,"7,731,596",164,"9,600,358",,,,,,11,Асакабанк,23,"3,784,766",56,"14,747,768",127,"33,255,461",367,"141,618,679"
Миллийбанк,Миллийбанк Бекобод БХМ,90,34,"429,316,201","7,581,834",482,152,55,"66,485,542","12,849,698",55,"12,849,698",152,"66,485,542",,,,,19,"2,268,440",23,"2,785,679",11,"3,524,851",39,"4,327,641",,,60,"4,347,301",6,"220,374",14,"2,454,071",1,"637,418",3,"88,014",2,"3,346,792",5,"22,361,436",54,"7,388,702",54,"35,692,758","3,842",Самарадор,77,"963,445",,"Бекобод ш., Булок-Арик МФЙ, Шахриобод к., 22",Мурталлаев Холмурод ,90-001-05-05,,14,Тирик хайвонлар озуқаси,135,"2,982,312",720,"29,314,910",,12,Бўстонлиқ тумани,7,"129,088",17,"1,844,579",,,,,,12,Универсалбанк,11,"988,450",741,"53,343,414",34,"2,018,639",198,"132,754,264"
Ипотека банк,Ипотека банк Бекобод филиали,171,68,"64,944,055","12,337,366",41,94,36,"13,150,639","9,385,228",36,"9,385,228",94,"13,150,639",,,,,3,"63,713",48,"24,335,494",4,"341,338",15,"1,216,052",,,50,"15,782,834",1,"73,026",10,"8,441,753",,,1,"29,800",3,"4,410,938",10,"241,802",31,"4,623,639",56,"11,773,893","2,179",Барқарор,22,"370,204",2,"Бекобод ш., Саломатлик к., 1",Мавлянова Гулчехра Таджимуратовна,90-806-40-80,,15,Мева махсулоти,426,"7,876,915",572,"18,042,563",,13,Тошкент тумани,2,"102,642",13,"1,247,848",,,,,,13,Ориент финанс банк,,,,,202,"122,230,354",492,"104,200,581"
Ўзсаноатқурилишбанк,Ўзсаноатқурилишбанк Бекобод БХМ,36,22,"1,807,003","4,834,847","1,099",13,11,"410,514","431,046",11,"431,046",13,"410,514",,,,,50,"248,500",4,"726,297",3,"150,100",,,,,11,"978,567",5,"47,575",1,"84,600",,,,,,,2,"10,850",53,"481,872",3,"62,795","1,081",Самарадорлиги паст,1,"36,039",2,"Бекобод ш., Меъмор к., 264",Абдувахидов Равшан Рустамжанович,94-917-19-79,,16,Текстил махсулотлари,327,"19,192,646",407,"11,051,198",,14,Оққўрғон тумани,6,"1,094,237",1,"874,290",,,,,,14,Туронбанк,15,"233,251",113,"12,307,735",85,"16,248,856",293,"81,118,123"
Бўка тумани,,4,6,"2,478,875","221,788",0,4,6,"126,807","1,984,652",6,"1,984,652",4,"126,807",0,0,0,0,3,"2,308,500",0,0,0,0,0,0,6,"3,593,020",1,"25,000",2,"698,122",0,0,0,0,0,0,0,0,2,"77,445",1,"2,010",1,"24,361",13,,0.10%,0,,,,,,17,Электрон махсулотлар,39,"1,204,775",335,"9,342,115",,15,Паркент тумани,2,"203,665",3,"186,739",,,,,,15,Давр банк,,,,,133,"13,862,880",504,"74,430,424"
Ўзсаноатқурилишбанк,Ўзсаноатқурилишбанк Бўка БХМ,3,5,"61,714","221,788",0,4,5,"126,807","1,982,642",5,"1,982,642",4,"126,807",,,,,3,"2,308,500",0,0,,,,,6,"3,593,020",1,"25,000",2,"698,122",,,,,,,,,2,"77,445",,,1,"24,361",13,Самарадор,100,,2,"Бука т., Бука ш., Дустлик МФЙ, Марказий к.",Мирсалиев Жасурбек Хусниддинович,97-274-10-09,,18,Керамика махсулоти,90,"595,914",222,"8,117,153",,16,Бекобод тумани,1,"5,908",4,"164,470",,,,,,16,Осто банк,,,,,10,"9,052,228",72,"74,257,546"
Агробанк,Агробанк Бўка филиали,1,1,"2,417,160",0,0,0,1,0,"2,010",1,"2,010",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"2,010",,,0,Ўртача,0,0,2,"Бука т., Бука ш., Мустакиллик к., 19",Садиков Миракмал Хайруллаевич ,94-407-02-92,,19,Мебел махсулоти,,,255,"6,834,453",,17,Оҳангарон шаҳар,9,"908,580",6,"157,167",,,,,,17,Инфинбанк,142,"53,840,108",316,"43,039,868",49,"11,846,364",316,"73,493,742"
Бўстонлиқ тумани,,18,11,"18,610,353","563,837",75,17,7,"1,844,579","129,088",7,"129,088",17,"1,844,579",0,0,0,0,1,"81,193",4,"84,000",1,"14,703",2,"50,133",0,0,10,"1,027,120",6,"181,637",0,0,0,0,2,"415,000",0,0,2,"358,779",1,"13,941",5,"77,547",116,,0.10%,"76,929",,,,,,20,Болалар ўйинчоқлари,,,302,"4,858,846",,18,Бўка тумани,6,"1,984,652",4,"126,807",,,,,,18,КДБ Банк,,,,,112,"27,218,834",328,"70,689,134"
