Tuman nomi;Bank nomi;Bank MFo;VASHlar soni;2024 yil davomida Soni;2024 yil davomida Summasi; 2024 Õududdagi ulushi foizda;2024 Belgilangan toifa;2025 yil davomida Soni;2025 yil davomida Summasi;2025 Õududdagi ulushi foizda;2025 Belgilangan toifa;2024 yilda Sotuv Soni;2024 yilda Sotuv Summa;2024 yilda xarid Soni;2024 yilda xarid Summa;2025 yilda Sotuv Soni;2025 yilda Sotuv Summa;2025 yilda xarid Soni;2025 yilda xarid Summa; Farqi xarid Soni;Farqi xarid Summa;Farqi Sotuv Soni;Farqi Sotuv Summa;"Daromadi 
(ming so'mda)";Belgilangan toifa; VASh Manzili;Avtovash Bank;Avtovash filiali;Avtovash tuman;Avtovash Soni;Avtovash Manzili
;Õalq banki;11489;4;4 603;2 076 068;;;8 932;2 896 019;22%;;3 325;1 448 018;1 278;628 050;6 186;1 849 011;2 746;1 047 008;2 861;400 993;1 468;418 958;146 361;Barqaror;Bekobod tumani, Mustakillik k., 6;Asaka bank;Nurafshon filiali;NURAFSHON SHAHRI;1;Nurafshon shahar Yangiobod MFY Yangiobod  ko'chasi 42-uy
BEKOBOD SHAHRI;;;18;94 164;68 294 721;7,10%;Barqaror;92 364;66 664 544;6%;Barqaror;40 834;39 729 401;53 330;28 565 320;41 025;39 141 581;51 339;27 522 964;191;-587 820;-1 991;-1 042 356;4 074 082;Barqaror;;Asaka bank;Nurafshon filiali;BO'KA TUMANI;1;Bo'ka tuman Yangi Õayot ko'chasi 
;Ipoteka bank;489;3;33 453;14 658 855;;;30 393;12 482 566;19%;;11 134;6 785 313;22 319;7 873 542;9 702;5 151 208;20 691;7 331 358;-1 432;-1 634 105;-1 628;-542 184;1 086 798;Samarador;Bekobod shahri, Salomatlik k., 1;Asaka bank;Nurafshon filiali;OLMALIQ SHAHRI;1; Olmaliq shahri Õamza MFY Extirom chorraxasi 
;Kapitalbank;11302;1;5 469;3 492 657;;;4 446;1 972 183;3%;;2 757;2 026 009;2 712;1 466 648;1 975;987 443;2 471;984 739;-782;-1 038 566;-241;-481 908;;Samaradorligi past;Bekobod shahri, Buyuk Ipak Yuli k.;Asaka bank;Nurafshon filiali;OÕANGARON SHAHRI;1;Oxangaron shahar Markaziy bozor 
;Milliy bank;11256;5;21 789;24 635 490;;;22 829;27 414 395;41%;;11 078;17 081 292;10 711;7 554 198;11 658;18 721 917;11 171;8 692 479;580;1 640 625;460;1 138 281;1 628 742;Barqaror;Bekobod shahri, Bulok-Arik MFY, Shaxriobod k., 22;BRB;Yangiyo'l BÕO;YANGIYO'L SHAHRI;1;Yangiyo'l shahar Markaziy dehqon bozoridagi 24/7 (44028)
;SQB;11203;5;16 283;15 529 371;;;16 355;15 082 390;23%;;8 567;8 719 298;7 716;6 810 073;8 613;9 017 808;7 742;6 064 581;46;298 511;26;-745 492;894 765;Barqaror; Bekobod shahri, Me'mor k., 264;BRB;Nurafshon BÕO;NURAFSHON SHAHRI;1;Bank binosi ichida (45639)
;Aloqabank;10508;1;9 147;5 810 586;;;7 678;4 776 373;7%;;3 524;2 889 023;5 623;2 921 563;3 731;2 714 181;3 947;2 062 191;207;-174 841;-1 676;-859 372;242 118;O'rtacha;Bekobod shahri, Dustlik MFY, 14-daxa, Amir Temur kuchasi;BRB;Yangiyo'l BÕO;YANGIYO'L SHAHRI;1;Yangiyol shahar Sh Rashidov 1 uy (45641)
;Davrbank;;1;141;96 616;;;1 870;1 284 013;2%;;109;53 350;32;43 266;1 089;666 092;781;617 921;980;612 742;749;574 655;;Samaradorligi past;Bekobod shahri, nurli MFY, Buyuk Ipak yo'li kko'chasi 2/56-uy;BRB;G'azalkent 2-toifali BÕM;BO'STONLIQ TUMANI;1; Bo'stonliq tumani Õo'jakent MFY Chinorkent MChJ binosi ichida
;Õalq banki;11634;2;7 882;4 071 147;;;8 793;3 652 625;5%;;3 665;2 175 117;4 217;1 896 030;4 257;1 882 931;4 536;1 769 694;592;-292 186;319;-126 336;221 660;O'rtacha;Bekobod shahri, Buyuk ipak yuli k., 1a;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Chimyon qishlog'i
BO'KA TUMANI;;;4;16 480;10 730 762;1,12%; Samaradorligi past;17 959;11 703 362;1%; Samaradorligi past;8 266;5 816 978;8 214;4 913 784;9 713;6 705 748;8 246;4 997 614;1 447;888 769;32;83 831;742 422; Samaradorligi past;;Garant bank;G'azalkent filiali;BO'STONLIQ TUMANI;1; Bo'stonliq tumani, Chimyon qishlog'i
