Tuman nomi;Bank nomi;Bank MFo;VASHlar soni;2024 yil davomida Soni;2024 yil davomida Summasi; 2024 Õududdagi ulushi foizda;2024 Belgilangan toifa;2025 yil davomida Soni;2025 yil davomida Summasi;2025 Õududdagi ulushi foizda;2025 Belgilangan toifa;2024 yilda Sotuv Soni;2024 yilda Sotuv Summa;2024 yilda xarid Soni;2024 yilda xarid Summa;2025 yilda Sotuv Soni;2025 yilda Sotuv Summa;2025 yilda xarid Soni;2025 yilda xarid Summa; Farqi xarid Soni;Farqi xarid Summa;Farqi Sotuv Soni;Farqi Sotuv Summa;"Daromadi 
(ming so'mda)";Belgilangan toifa; VASh Manzili;Avtovash Bank;Avtovash filiali;Avtovash tuman;Avtovash Soni;Avtovash Manzili
;Milliy bank;11253;4;28 522;23 088 194;;;33 342;30 977 722;27%;;18 057;14 384 080;10 465;8 704 114;21 976;18 448 150;11 366;12 529 572;3 919;4 064 070;901;3 825 458;2 215 572;Samarador;Nurafshon shahri, Obod MFY, Toshkent yuli k., 10;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri,Farovon MFY Anarkulov ko'chasi 20
;Turonbank;12062;1;257;85 127;;;1 422;406 569;0%;;161;52 651;96;32 476;818;232 249;604;174 320;657;179 598;508;141 844;19 053;Samaradorligi past;Nurafshon shahri, Bobir MFY, Toshkent yuli k., 70;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri, Uzbekiston MFY Shifokor kuchasi
;SQB;11198;6;13 705;11 806 073;;;10 824;10 630 521;9%;;8 878;7 459 741;4 827;4 346 331;6 998;6 064 495;3 826;4 566 026;-1 880;-1 395 246;-1 001;219 695;674 279;O'rtacha;Nurafshon shahri, Toshkent yuli k., 40;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri, Uzbekiston MFY Shifokor kuchasi
;Aloqabank;10729;1;11 243;5 016 742;;;12 159;6 039 242;5%;;6 365;2 955 343;4 878;2 061 399;6 956;3 590 272;5 203;2 448 970;591;634 930;325;387 571;343 916;O'rtacha;Nurafshon shahri, Ma'rifat MFY, Bobur k., 1.;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri ,Beruniy kuchasi
;Õalq banki;11799;2;9 704;5 087 650;;;11 146;4 810 756;4%;;5 271;2 670 931;4 433;2 416 719;5 690;1 946 693;5 456;2 864 063;419;-724 238;1 023;447 344;243 238;Barqaror; Nurafshon shahri, Mukumiy MFY, Toshkent yuli k., 176;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani,Yangiyo'l shaxri ,Beruniy kuchasi
;Ipoteka bank ;;1;10 676;8 710 811;;;10 294;6 668 131;6%;;6 337;6 587 857;4 339;2 122 954;6 024;4 609 687;4 270;2 058 444;-313;-1 978 170;-69;-64 510;;O'rtacha;Nurafshon shahri, Toshkent yo‘li  ko‘chasi, 48-uy;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L SHAHRI;1;Yangiyul shahar Beruniy kuchasi
;Apeks bank ;;1;0;0;;;820;309 055;0%;;;;;;539;163 520;281;145 535;539;163 520;281;145 535;;Samaradorligi past;Nurafshon shahri, Toshkent yo‘li  ko‘chasi, 58-uy;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L SHAHRI;1;Yangiyul shahar Beruniy kuchasi
;Hamkorbank;11448;1;15 762;9 985 319;;;17 998;12 866 155;11%;;9 542;5 713 896;6 220;4 271 424;11 857;7 709 984;6 141;5 156 172;2 315;1 996 088;-79;884 748;827 164;Barqaror;Nurafshon shahri, Toshkent yuli k., 32;Ipak yo'li bank;Yangiyo'l filiali;ZANGIOTA TUMANI;1;Zangiota tuman, A.Temur ko'chasi 
OQQO'RG'ON TUMANI;;;6;32 553;14 224 941;1,48%; Samaradorligi past;25 784;12 621 574;1%; Samaradorligi past;16 707;7 438 736;15 846;6 786 205;15 204;7 889 855;10 580;4 731 719;-1 503;451 119;-5 266;-2 054 487;2 980 932; Samaradorligi past;;Ipak yo'li bank;Yangiyo'l filiali;ZANGIOTA TUMANI;1;Zangiota tuman, A.Temur ko'chasi 
;Agro bank;457;3;19 581;7 653 878;;;13 546;5 996 044;48%;;10 526;4 044 812;9 055;3 609 067;8 371;3 588 814;5 175;2 407 230;-2 155;-455 997;-3 880;-1 201 837;2 597 849;Barqaror; Oqqo'rg'on tumani, Oqqo'rg'on shahri, A.Kodiriy k., 1;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L SHAHRI;1;Yangiyo'l shahar, Samarkand ko'chasi 361/1 uy
;MKB;11388;1;5 736;3 056 323;;;5 182;3 729 527;30%;;2 238;1 531 977;3 498;1 524 347;2 254;2 546 411;2 928;1 183 116;16;1 014 434;-570;-341 231;216 100;Samaradorligi past;Oqqo'rg'on tumani, Alisher Navoiy k., 1;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L SHAHRI;1;Yangiyo'l shahar, Samarkand ko'chasi 361/1 uy
;Õalq banki;11412;2;7 236;3 514 739;;;7 056;2 896 003;23%;;3 943;1 861 948;3 293;1 652 792;4 579;1 754 630;2 477;1 141 373;636;-107 317;-816;-511 419;166 984;O'rtacha;Oqqo'rg'on shahri, Birlik MFY, Oxunboboev k., 1;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l  tumani, Qo'shyog'och MFY, Amir Temur ko'chasi 
OLMALIQ SHAHRI;;;32;134 991;101 713 625;10,58%;Samarador;143 405;126 381 197;11%;Samarador;54 383;44 485 567;80 608;57 228 058;59 484;61 128 562;83 921;65 252 634;5 101;16 642 996;3 313;8 024 576;8 831 222;Samarador;;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l  tumani, Qo'shyog'och MFY, Amir Temur ko'chasi 
;Kapitalbank;11462;1;538;376 135;;;3 740;3 095 590;2%;;321;200 260;217;175 875;2 358;2 064 534;1 382;1 031 056;2 037;1 864 274;1 165;855 181;;Samaradorligi past;Olmaliq shahri, Abu Ali Ibn Sino MFY, Extirom k., 43-41;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 169 uy
;Ipoteka bank;459;4;64 283;38 905 589;;;50 192;28 553 483;23%;;22 586;16 901 575;41 697;22 004 014;17 391;10 995 026;32 801;17 558 457;-5 195;-5 906 549;-8 896;-4 445 557;2 766 819;Samarador;Olmaliq shahri, Faxriylar k., 27;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyo'l tumani, Samarqand ko'chasi, 169 uy
;MKB;11247;1;1 307;935 729;;;2 641;2 247 604;2%;;595;341 754;712;593 975;1 396;1 378 746;1 245;868 858;801;1 036 992;533;274 883;95 600;Samaradorligi past;Olmaliq shahri, Amir Temur k., 15;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyul tumani, Niyozboshi MFY
;Milliy bank;12174;3;0;0;;;5 609;8 061 115;6%;;0;0;0;0;2 245;3 755 499;3 364;4 305 616;2 245;3 755 499;3 364;4 305 616;502 963;Samaradorligi past;Olmaliq shahri, Toshkent MFY, Extirom k., 8;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyul tumani, Niyozboshi MFY
;Milliy bank;12190;6;0;0;;;11 468;13 053 224;10%;;0;0;0;0;5 354;6 326 895;6 114;6 726 329;5 354;6 326 895;6 114;6 726 329;800 918;O'rtacha;Olmaliq shahri, Oltin MFY, Sharof Rashidov k., 38;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyul tumani, Tuyabugiz MFY, Do'stlik ko'chasi 1a
;Milliy bank;11142;3;7 785;10 288 069;;;12 801;13 708 341;11%;;2 890;3 739 441;4 895;6 548 628;4 602;5 369 501;8 199;8 338 840;1 712;1 630 060;3 304;1 790 212;803 571;O'rtacha;Olmaliq shahri, A.Temur k., 31;Ipak yo'li bank;Yangiyo'l filiali;YANGIYO'L TUMANI;1;Yangiyul tumani, Tuyabugiz MFY, Do'stlik ko'chasi 1a
;SQB;11200;5;32 569;25 848 616;;;29 260;24 843 762;20%;;13 711;11 568 219;18 858;14 280 398;12 370;12 611 154;16 890;12 232 609;-1 341;1 042 935;-1 968;-2 047 789;1 461 964;Barqaror; Olmaliq shahri, Amir Temur k., 28;MKB;G'azalkent BÕO;BO'STONLIQ TUMANI;1;G'azalkent shaxri Bo'stonlik  ko'chasi 5-uy (Bank xududi)
;Õalq banki;11582;2;6 929;3 309 481;;;7 601;3 358 097;3%;;3 404;1 575 497;3 525;1 733 984;3 357;1 852 539;4 244;1 505 558;-47;277 043;719;-228 426;188 180;Samaradorligi past;Olmaliq shahri, A.Temur k., 30;MKB;Keles BÕO;TOSHKENT TUMANI;1;Toshkent tuman,  Keles shaxri,  Ravnaq ko'chasi 
;Asaka bank ;;1;0;0;;;327;1 436 635;1%;;;;;;327;1 436 635;0;0;327;1 436 635;0;0;0;Samaradorligi past; Olmaliq shahri, Hilol mfy Õonobod ko'chasi 2-a uy;MKB;Oqqo'rg'on BÕO;OQQO'RG'ON TUMANI;1; Oqqo'rg'on tumani,  Furqat ko'chasi,  Oqqo'rg'on dexqon bozori
;Trast bank;;1;0;0;;;576;382 788;0%;;;;;;359;267 394;217;115 394;359;267 394;217;115 394;;Samaradorligi past; Olmaliq shahri, Ehtirom ko‘chasi, 11/3-uy;MKB;Piskent BÕM;BO'KA TUMANI;1;Bo'ka tumani,  Abdulla Kodiriy 4 uy   
;OFB ;;4;6 786;4 235 574;;;0;0;0%;;2 762;1 605 184;4 024;2 630 390;0;0;0;0;-2 762;-1 605 184;-4 024;-2 630 390;;Samaradorligi past;Olmaliq shahri, A.Temur ko'chasi 31A-uy;MKB;Nurafshon BÕO;NURAFSHON SHAHRI;1;Nurafshon shahar, Qumari MFY, 
;Hamkorbank;11445;1;14 794;17 814 432;;;19 190;27 640 557;22%;;8 114;8 553 637;6 680;9 260 795;9 725;15 070 638;9 465;12 569 919;1 611;6 517 001;2 785;3 309 123;2 211 207;Barqaror;Olmaliq shahri, Mustakillik k., 10;MKB;Oqqo'rg'on BÕO;OQQO'RG'ON TUMANI;1; Oqqo'rg'on tumani,  Axunboboev ko'chasi,  1-uy
OÕANGARON TUMANI;;;5;45 877;26 137 117;2,72%; Samaradorligi past;42 084;22 534 192;2%; Samaradorligi past;24 636;13 998 999;21 241;12 138 117;22 646;12 551 515;19 438;9 982 678;-1 990;-1 447 485;-1 803;-2 155 439;2 500 623; Samaradorligi past;;MKB;G'azalkent BÕO;BO'STONLIQ TUMANI;1;G'azalkent shaxri Bo'stonlik Dexkon bozori xududiy
;Agro bank;413;1;8 089;3 855 273;;;8 561;3 844 727;17%;;4 519;2 606 525;3 570;1 248 748;4 483;2 050 461;4 078;1 794 266;-36;-556 065;508;545 518;1 020 923;O'rtacha;Oxangaron tumani, Nurobod MFY, Nurobod k., 402;MKB;Keles BÕO;TOSHKENT TUMANI;1; Toshkent tumani Keles yo'li ko'chasi 3 uy
;Ipoteka bank;487;2;29 471;16 820 545;;;24 327;12 816 982;57%;;14 941;8 405 022;14 530;8 415 524;12 687;7 145 707;11 640;5 671 275;-2 254;-1 259 315;-2 890;-2 744 249;1 422 000;Samarador;Oxangaron tumani, Oxangaron shahri, Oxunboboev k., 1;MKB;Piskent BÕM;PSKENT TUMANI;1;Piskent tumani,  Mustaqillik ko'chasi,  2 uy
;MKB;11978;1;751;275 520;;;1 823;709 738;3%;;500;193 569;251;81 951;1 158;494 118;665;215 620;658;300 549;414;133 669;42 900;Samaradorligi past; Oxangaron tumani, Nurobod MFY, 141;MKB;Parkent BÕM;PARKENT TUMANI;1;Parkent shaxri A.Navoiy ko'chasi 105-uy
;Turonbank;10715;1;7 566;5 185 778;;;7 373;5 162 746;23%;;4 676;2 793 883;2 890;2 391 895;4 318;2 861 229;3 055;2 301 517;-358;67 346;165;-90 378;14 800;O'rtacha;Oxangaron tumani, Guliston MFY, Amir Temur k., 9;MKB;Parkent BÕM;YUQORICHIRCHIQ TUMANI;1; Yuqorichirchiq tumani, Mustaqillik ko'chasi 46
OÕANGARON SHAHRI;;;12;33 736;21 186 857;2,20%; Samaradorligi past;48 646;30 504 357;3%;O'rtacha;19 796;12 908 288;13 940;8 278 569;27 808;15 170 494;20 838;15 333 863;8 012;2 262 206;6 898;7 055 294;203 355;O'rtacha;;Milliy bank;Yangiyul BÕM;CHINOZ TUMANI;1;Chinoz tumani, Yallama qishlog'i
;BRB;10819;4;17 795;10 284 505;;;15 599;12 009 625;39%;;9 928;5 720 100;7 867;4 564 405;8 594;6 075 272;7 005;5 934 352;-1 334;355 172;-862;1 369 947;50 726;Barqaror;Oxangaron shahri, Navbaxor MFY, A.Temur k., 15;Milliy bank;Zarxal BÕO;OLMALIQ SHAHRI;1;Olmaliq shahar, Olmaliq kon-metallurgiya kombinati
;Hamkorbank ;;1;5 305;6 127 397;;;8 189;10 614 147;35%;;3 942;4 511 106;1 363;1 616 291;5 662;5 283 784;2 527;5 330 363;1 720;772 678;1 164;3 714 072;0;O'rtacha;Oxangaron shahri, Bo‘ston MFY, A.Temur ko‘chasi 25-uy;Milliy bank;Zarxal BÕO;OLMALIQ SHAHRI;1;Olmaliq shahar, Olmaliq kon-metallurgiya kombinati
;Trast bank ;;2;3 008;1 862 789;;;4 832;3 057 584;10%;;1 924;1 210 110;1 084;652 679;2 940;1 715 168;1 892;1 342 416;1 016;505 057;808;689 737;;O'rtacha;Oxangaron tumani, Namuna MFY, “Oxangaron” savdo kompleksining 1-qavatida;Milliy bank;Chirchiq BÕO;CHIRCHIQ SHAHRI;1;Chirchiq shahar, Istibol MFY, A.Navoiy 101
;Hayot bank ;;1;0;0;;;3 177;1 980 033;6%;;;;;;1 955;862 162;1 222;1 117 872;1 955;862 162;1 222;1 117 872;;O'rtacha;Oxangaron shahri, A.Temur ko‘chasi, 7/1-uy;Milliy bank;Chirchiq BÕO;CHIRCHIQ SHAHRI;1;Chirchiq shahar A.Temur MFY A.Temur ko'chasi
;Trast bank;;1;115;35 549;;;0;0;0%;;68;25 599;47;9 950;;;;;-68;-25 599;-47;-9 950;;;Oxangaron tumani, Namuna MFY, “Oxangaron” savdo kompleksining 1-qavatida;Milliy bank;Chirchiq BÕO;CHIRCHIQ SHAHRI;1;Chirchiq shahar Turon MFY, 23-xarbiy shaharcha
;Kapitalbank ;;1;157;58 666;;;22;8 730;0%;;124;42 818;33;15 848;22;8 730;0;0;-102;-34 088;-33;-15 848;;Samaradorligi past;Oxangaron shahri, Amir Temur k. 21-uy;Milliy bank;Nurafshon  BÕM;NURAFSHON SHAHRI;1;Nurashon shahar Obod MFY Toshkent yuli kuchasi 10-uy
;Õalq banki;11633;2;7 356;2 817 950;;;16 827;2 834 238;9%;;3 810;1 398 555;3 546;1 419 396;8 635;1 225 379;8 192;1 608 860;4 825;-173 176;4 646;189 464;152 629;Samarador;Oxangaron shahri, Oxunboboev k., 9;Milliy bank;Olmaliq BÕO;OLMALIQ SHAHRI;1;Olmaliq sh. A.Temur kuchasi 31 uy
PARKENT TUMANI;;;6;46 759;20 759 175;2,16%; Samaradorligi past;48 423;23 558 572;2%; Samaradorligi past;27 148;10 660 407;19 611;10 098 768;31 514;13 839 802;16 909;9 718 770;4 366;3 179 395;-2 702;-379 998;952 272; Samaradorligi past;;Milliy bank;Yangiyul BÕM;YANGIYO'L SHAHRI;1;Yangiyul shahar Samarkand kuchasi 178 uy
;Agro bank;482;1;20 651;9 782 758;;;20 057;10 309 046;44%;;12 253;5 137 408;8 398;4 645 350;13 270;5 805 648;6 787;4 503 398;1 017;668 239;-1 611;-141 952;133 441;Samarador;Parkent tumani, Bulokboshi MFY, Soy soxili k., 66;Milliy bank;Bekobod BÕM;BEKOBOD SHAHRI;1;Bekobod shahar Shaxriobod 22
;MKB;11785;2;16 718;6 218 149;;;20 525;9 071 737;39%;;9 485;3 219 735;7 233;2 998 414;12 898;5 243 839;7 627;3 827 898;3 413;2 024 104;394;829 484;583 000;Samarador;Parkent tumani, Oybek MFY, A.Navoiy shox k.;Milliy bank;Angren BÕM;ANGREN SHAHRI;1;Angren shahar, Giolog MFY Giolog ko'chasi
;Trast bank ;;1;0;0;;;1 068;466 931;2%;;;;;;944;394 381;124;72 550;944;394 381;124;72 550;;Samaradorligi past; Parkent tumani, “Objuvoz” MFY, Alisher Navoiy ko‘chasi, 110-uy;Milliy bank;Angren BÕM;ANGREN SHAHRI;1;Angren shahar Oxangaron ko'chasi 1 uy 
;Õalq banki;11487;2;9 390;4 758 268;;;6 773;3 710 858;16%;;5 410;2 303 263;3 980;2 455 004;4 402;2 395 934;2 371;1 314 924;-1 008;92 671;-1 609;-1 140 081;235 831;O'rtacha;Parkent tumani, Parkent shahri, A.Navoiy k., 12;Milliy bank;Oydin BÕO;OLMALIQ SHAHRI;1;Olmaliq sh Extirom MÕF
PSKENT TUMANI;;;4;26 350;10 737 676;1,12%; Samaradorligi past;27 862;14 059 079;1%; Samaradorligi past;11 815;4 631 801;14 535;6 105 875;13 551;6 707 128;14 311;7 351 951;1 736;2 075 326;-224;1 246 076;978 063; Samaradorligi past;;Milliy bank;Oydin BÕO;OLMALIQ SHAHRI;1;Olmaliq sh Extirom MÕF
;Agro bank;472;1;11 182;3 615 050;;;10 513;4 669 043;33%;;6 288;2 046 439;4 894;1 568 611;6 350;2 669 455;4 163;1 999 588;62;623 016;-731;430 978;438 113;Samarador; Pskent tumani, Pskent shahri, Mustakillik k., 1;SQB;Chirchiq BÕM;BO'STONLIQ TUMANI;1;Bo'stonliq tuman G'azalkent MFY Amirsoy ko'chasi 56-uy
;MKB;11787;1;8 008;3 970 023;;;8 156;5 105 910;36%;;2 363;1 436 893;5 645;2 533 130;3 222;2 543 387;4 934;2 562 523;859;1 106 494;-711;29 393;287 700;Barqaror;Pskent tumani, Mitan MFY, Mustakillik k., 2;SQB;Chirchiq BÕM;CHIRCHIQ SHAHRI;1;Chirchiq sh. Õalq birligi ko'cha kesishuvi
;SQB;10793;1;4 231;1 878 981;;;5 441;2 905 192;21%;;1 874;772 656;2 357;1 106 325;2 176;972 654;3 265;1 932 538;302;199 998;908;826 214;174 941;O'rtacha;Pskent tumani, Pskent shahri, Mitan MFY, Amir Temur k., 98;SQB;Chirchiq BÕM;BO'STONLIQ TUMANI;1;Bo'stonliq tuman G'azalkent MFY Amirsoy ko'chasi 56-uy
;Õalq banki;11387;1;2 929;1 273 623;;;3 752;1 378 933;10%;;1 290;375 814;1 639;897 809;1 803;521 632;1 949;857 301;513;145 818;310;-40 508;77 308;Samaradorligi past;Pskent tumani, Pskent shahri, Amir Temur k., 173;SQB;Chirchiq BÕM;CHIRCHIQ SHAHRI;1;Chirchiq sh. A.Navoiy kucha 187 uy
TOSHKENT TUMANI;;;15;61 967;29 642 520;3,08%;O'rtacha;57 502;30 400 346;3%;O'rtacha;38 797;20 019 921;23 170;9 622 599;34 205;19 063 469;23 297;11 336 877;-4 592;-956 452;127;1 714 279;841 158;O'rtacha;;SQB;Chirchiq BÕM;CHIRCHIQ SHAHRI;1;Chirchiq sh. Õalq birligi ko'cha kesishuvi
;MKB;11943;1;5 755;2 212 942;;;12 228;6 104 693;20%;;3 907;1 355 644;1 848;857 298;7 671;3 181 907;4 557;2 922 786;3 764;1 826 263;2 709;2 065 488;407 800;Barqaror;Toshkent tumani, Alisher Navoiy MFY, Ravnak k.;SQB;Chirchiq BÕM;CHIRCHIQ SHAHRI;1;Chirchiq shaxri, Kimyogarlar ko'chasi, 1-uy
;Aloqabank;10502;1;5 005;4 440 598;;;5 109;3 750 788;12%;;1 890;2 540 637;3 115;1 899 961;1 903;2 176 448;3 206;1 574 340;13;-364 190;91;-325 620;209 861;O'rtacha;Toshkent tumani, Keles yuli kuchasi, Õuvaydo MFY, 1-uy, 3-xonadon;SQB;Chirchiq BÕM (qibray BÕM);QIBRAY TUMANI;1;Qibray tumani, Salax shaharchasi, Universitet ko'chasi, 1/1
;Davrbank ;;1;24 795;7 980 290;;;19 790;8 309 199;27%;;15 141;4 439 102;9 654;3 541 189;11 381;4 181 171;8 409;4 128 028;-3 760;-257 931;-1 245;586 839;;Samarador;Toshkent tumani, Keles shahri, Õuvaydo MFY, Keles yo'li ko'chasi 1-1 uy;SQB;Chirchiq BÕM (qibray BÕM);QIBRAY TUMANI;1;Toshkent v. Qibray tumani Zebuniso 7  
;Trast bank ;;3;8 699;4 111 381;;;8 560;4 503 362;15%;;6 349;3 273 845;2 350;837 536;6 198;3 494 108;2 362;1 009 254;-151;220 263;12;171 718;;O'rtacha;Toshkent tumani, Iqbol dahasi, Yoshlik ko'chasi 1-uy;SQB;Chirchiq BÕM (qibray BÕM);CHIRCHIQ SHAHRI;1;Chirchiq shaxri Alisher Navoiy shox ko'chasi 16a uy
;Ipoteka bank ;;1;1 350;2 925 802;;;983;2 190 213;7%;;1 252;2 853 657;98;72 145;827;2 114 503;156;75 710;-425;-739 154;58;3 565;;O'rtacha;Toshkent tumani, Yunusobod QFY, Toshkent avtomobil xalqa yo’li ko’chasi, 20-uy;SQB;Angren BÕM;ANGREN SHAHRI;1;Angren shahar, 5/1 A daxa, 3 uy
;Hayot bank ;;1;262;1 194 081;;;534;1 707 458;6%;;251;1 161 981;11;32 100;433;1 502 329;101;205 129;182;340 349;90;173 029;;Samaradorligi past;Toshkent tumani, Choshtepa Sabzavot MFY, TÕAY yoqasi kochasi, 61-uy;SQB;Olmalik BÕM;PSKENT TUMANI;1;Piskent t. Amur Temur kuchasi 98-uy 24/7
;OFB;;2;223;715 795;;;619;260 244;1%;;223;715 795;0;0;523;250 024;96;10 220;300;-465 771;96;10 220;;Samaradorligi past;Toshkent tumani, kvartal ko‘chasi 270-271a-uy;SQB;Olmalik BÕM;PSKENT TUMANI;1;Piskent t. Amur Temur kuchasi 101A-uy 24/7
;Infin bank ;;1;9 795;3 365 178;;;0;0;0%;;5 904;1 989 076;3 891;1 376 102;;;;;-5 904;-1 989 076;-3 891;-1 376 102;;;Toshkent tumani, Õuvaydo MFY, Keles yo'li ko'chasi 1 uy 15 xonadon;SQB;Bekobod BÕM;BEKOBOD SHAHRI;1;Bekobod shahar dexqon bozor xududi ATM 4
;Õalq banki;11782;4;6 083;2 696 452;;;9 679;3 574 390;12%;;3 880;1 690 184;2 203;1 006 268;5 269;2 162 979;4 410;1 411 411;1 389;472 795;2 207;405 143;223 497;O'rtacha;Toshkent tumani, Keles shahri, Keles yuli k., 8;Turonbank;Zangiota bank xizmatlari markazi;ZANGIOTA TUMANI;1; Zangiota tumani M 39,  45-uy
O'RTACHIRCHIQ TUMANI;;;1;14 116;7 719 806;0,80%; Samaradorligi past;15 628;9 241 433;1%; Samaradorligi past;8 738;4 663 179;5 378;3 056 627;9 482;5 120 284;6 146;4 121 149;744;457 106;768;1 064 522;481 011; Samaradorligi past;;Turonbank;Zangiota bank xizmatlari markazi;ZANGIOTA TUMANI;1; Zangiota tumani Eshonguzar,  45-uy
;Aloqabank;10510;1;14 116;7 719 806;;;15 628;9 241 433;100%;;8 738;4 663 179;5 378;3 056 627;9 482;5 120 284;6 146;4 121 149;744;457 106;768;1 064 522;481 011;Samarador;O'rtachirchiq tumani, Bektemir shox kuchasi, 217-uy;Universalbank;Zangiota BÕM;ZANGIOTA TUMANI;1;Zangiota tumani Mustaqillik ko'chasi 24
CHINOZ TUMANI;;;10;41 550;23 350 063;2,43%; Samaradorligi past;40 521;27 349 355;2%; Samaradorligi past;23 633;12 446 641;17 917;10 903 422;23 399;14 893 757;17 122;12 455 598;-234;2 447 116;-795;1 552 176;1 350 484; Samaradorligi past;;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;O'rtachirchiq Xalq bank Toytepa filial UZCARD bankomat
;Agro bank;476;1;6 121;4 752 574;;;5 646;6 123 457;22%;;3 320;3 133 657;2 801;1 618 917;2 933;3 797 556;2 713;2 325 901;-387;663 900;-88;706 984;130 431;Barqaror;Chinoz tumani, Chinoz shahri, Sh.Rashidov k., 20;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;UZCARD  bankomat mamuriy bino
;Ipoteka bank;1039;1;5 373;3 375 631;;;4 886;2 764 248;10%;;2 265;1 625 432;3 108;1 750 199;1 991;1 052 415;2 895;1 711 833;-274;-573 017;-213;-38 366;289 044;O'rtacha;Chinoz tumani, Chinoz shahri, Sh.Rashidov k., 20;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;UZCARD  bankomat mamuriy bino
;Turonbank;10714;1;6 123;1 993 785;;;5 176;2 029 554;7%;;3 032;1 052 164;3 091;941 621;2 885;1 257 499;2 291;772 055;-147;205 335;-800;-169 566;88 800;Barqaror; Chinoz tumani, Chinoz shahri, Kozi MFY, Sharof Rashidov k., 1;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;Õalq banki ma'muriy binosi yonida 24/7 
;Õalq banki;10121;5;2 025;1 213 803;;;4 096;1 924 958;7%;;1 121;754 460;904;459 343;2 747;1 469 577;1 349;455 381;1 626;715 117;445;-3 962;79 554;Samaradorligi past;Chinoz tumani, Olmazor kurgoni, Nafis MFY, Samarkand k.,3;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;Madaniyat mfy o'zbekiston kuchasi BÕM yonida
;Õalq banki;11800;;;;;;;;0%;;;;;;;;;;;;;;;; Chinoz tumani, Kozi MFY, Samarkand k., 30;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;Õalq banki ma'muriy binosi yonida 24/7 rejimida ishlovchi elektron ofis
;Milliy bank;;1;5 671;1 367 671;;;4 738;1 515 984;6%;;5 671;1 367 671;;0;4 738;1 515 984;0;0;-933;148 313;0;0;;O'rtacha;Chinoz tumani, Yallama bojxonasi;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;"""USELL"" ofisi yonida   uzkart     roxat"
;Hamkorbank;11443;1;16 237;10 646 599;;;15 979;12 991 154;48%;;8 224;4 513 258;8 013;6 133 341;8 105;5 800 726;7 874;7 190 428;-119;1 287 468;-139;1 057 087;762 655;Samarador;Chinoz tumani, Sh.Rashidov k., 12a;Õalq banki;Nurafshon sh ;NURAFSHON SHAHRI;1;Kuchluk mfy Dorixona oldi
CHIRCHIQ SHAHRI;;;20;124 505;108 608 421;11,29%;Samarador;141 531;129 412 906;11%;Samarador;63 576;60 755 133;60 929;47 853 289;72 855;69 360 897;68 676;60 052 010;9 279;8 605 764;7 747;12 198 721;6 996 043;Samarador;;Õalq banki;Nurafshon sh ;PSKENT TUMANI;1;Piskent.t Murotali MFY Sayram kucha 51 uy UZCARD
;Ipoteka bank;478;1;20 181;21 905 540;;;19 142;22 145 964;17%;;8 543;11 291 102;11 638;10 614 439;8 818;10 555 888;10 324;11 590 077;275;-735 214;-1 314;975 638;1 717 235;Barqaror;Chirchiq shahri, Mejkanalnaya k., 1;Õalq banki;Bekobod sh ;BEKOBOD SHAHRI;1;Bankomat HUMO-3 24/7 (Farxod chegara)
;Anor bank;10422;1;2 350;2 543 797;;;9 578;15 533 876;12%;;1 323;1 269 297;1 027;1 274 501;5 456;7 055 108;4 122;8 478 768;4 133;5 785 811;3 095;7 204 267;;O'rtacha;Chirchiq shahri, Shodlik MFY, Amir Temur k., 108;Õalq banki;Bekobod sh ;BEKOBOD SHAHRI;1;Bekobod shahar Õalq banki oldida
